begin_time;end_time;Diferencia_tiempo;Low_freq;high _freq;Max_time;Energy;Max_entropy;Max_Freq;Max_Power;Min_Entropy;Peak_freq;Longiti;Pais
467.00;1.869;1.402;0.0;4666.2;551.00;116.9;4.117;0.0;108.4;1.008;0.0;241.00;costa_rica
35.155;36.673;1.518;"75.5
";3970.7;35.852;110.2;4.436;1636.5;97.6;1.126;1636.5;261.00;costa_rica
8.145;8.960;815.00;252.5;3029.8;8.458;108.8;4.235;1722.7;99.3;1.214;1722.7;140.00;ecuador
14.525;15.505;980.00;202.3;2933.3;14.971;110.3;4.408;1550.4;99.4;1.223;1550.4;169.00;costa_rica
36.313;38.084;1.771;696.8;3135.8;36.618;118.2;4.392;1464.3;106.2;1.225;1464.3;305.00;ecuador
7.009;7.609;600.00;0.0;3198.1;7.239;110.8;4.421;1550.4;101.9;1.239;1550.4;103.00;ecuador
30.999;32.770;1.771;547.5;2837.1;32.763;111.9;4.302;1808.8;99.9;1.241;1808.8;306.00;ecuador
11.965;12.767;802.00;907.4;2994.4;11.976;112.6;3.253;1636.5;102.3;1.243;1636.5;138.00;ecuador
3.686;4.540;854.00;272.2;2177.8;3.762;112.7;3.767;1550.4;100.3;1.244;1550.4;148.00;ecuador
6.276;6.917;641.00;998.1;2540.7;6.281;108.3;2.847;1550.4;97.8;1.250;1550.4;110.00;ecuador
10.243;10.876;633.00;878.1;4292.9;10.379;114.1;4.349;1722.7;104.7;1.250;1722.7;109.00;ecuador
3.387;5.139;1.752;274.5;4574.7;3.593;114.3;4.236;1636.5;99.6;1.253;1636.5;302.00;costa_rica
17.286;19.271;1.985;457.5;3202.3;18.332;117.9;4.329;1722.7;104.5;1.253;1722.7;342.00;costa_rica
19.00;16.3;43.521;578.00;3085.2;16.7;107.2;3.435;1662.00;98.0;1.253;1550.4;46.00;costa_rica
15.464;15.731;267.00;544.4;3085.2;15.505;107.2;3.435;1550.4;98.0;1.253;1550.4;46.00;ecuador
15.464;15.731;267.00;544.4;3085.2;15.505;107.2;3.435;1550.4;98.0;1.253;1550.4;46.00;ecuador
15.464;15.731;267.00;544.4;3085.2;15.505;107.2;3.435;1550.4;98.0;1.253;1550.4;46.00;ecuador
11.00;13.00;2.00;858.00;3202.3;18.332;117.9;4.329;1722.7;104.5;1.253;1722.7;87.00;ecuador
17.286;19.271;1.985;457.5;3202.3;18.332;117.9;4.329;1722.7;104.5;1.253;1722.7;342.00;ecuador
2.979;4.509;1.530;1194.6;3135.8;3.088;115.4;4.159;1378.1;104.7;1.255;1378.1;263.00;ecuador
8.786;9.347;561.00;103.0;2884.1;8.848;112.1;3.905;1593.8;101.1;1.258;1593.8;105.00;costa_rica
11.146;12.389;1.243;420.8;3113.9;11.250;115.7;4.292;1378.1;105.3;1.258;1378.1;214.00;ecuador
16.575;17.260;685.00;424.00;3011.4;16.667;112.9;4.093;1593.8;103.5;1.260;1593.8;129.00;costa_rica
10.069;10.603;534.00;453.7;3085.2;10.461;106.7;3.781;1550.4;94.2;1.262;1550.4;92.00;ecuador
20.908;21.661;753.00;578.4;4193.1;21.200;111.9;4.221;1550.4;103.1;1.266;1550.4;130.00;ecuador
12.924;13.436;512.00;97.6;3414.8;12.957;107.6;4.744;1722.7;99.2;1.266;1722.7;88.00;ecuador
10.032;10.876;844.00;433.8;5494.4;10.379;114.2;4.655;1722.7;104.7;1.267;1722.7;145.00;ecuador
1.127;1.932;805.00;846.2;3384.7;1.428;112.0;4.568;1378.1;100.0;1.271;1378.1;138.00;ecuador
1.629;2.551;922.00;830.7;3322.6;2.067;112.5;4.077;1550.4;100.4;1.273;1550.4;159.00;ecuador
3.044;3.901;857.00;604.1;3624.7;3.582;111.1;4.110;1722.7;99.2;1.273;1722.7;148.00;ecuador
2.572;3.387;815.00;589.1;3450.6;3.088;108.4;4.060;1550.4;96.1;1.275;1550.4;140.00;ecuador
17.286;19.271;1.985;337.9;3801.7;18.332;118.4;4.689;1722.7;104.5;1.282;1722.7;342.00;costa_rica
10.870;12.158;1.288;1045.3;3135.8;11.047;118.0;4.155;1378.1;106.0;1.282;1378.1;222.00;ecuador
